AAB	ABELAG AVIATION	ABELAG
SNI	SAVANAH AIRLINES LIMITED	SAVANAHLINE
SNJ	SOLASEED AIR INC.	NEWSKY
SNK	SUN JET INTERNATIONAL, INC. D/B/A SOUTHEAST AIRLINES (LARGO, FL)	SUN KING
SNL	SOONAIR LINES, INC. (TULSA, OK)	SOONAIR
SNM	SERVIZI AEREI SPA	SERVIZI AEREI
SNO	SONI AVIONES, S.A. DE C.V.	SONAVI
SNP	SUN PACIFIC INTERNATIONAL, INC. (TUCSON, AZ)	SUN PACIFIC
SNQ	SUN QUEST EXECUTIVE AIR CHARTER, INC. (PACOIMA, CA)	EXECU-QUEST
SNR	SUN AIR CO.	SUN GROUP
SNT	SUNCOAST AVIATION, INC.(CLEARWATER,FL)	SUNCOAST
SNV	SUDANESE STATES AVIATION CO. LTD	SUDANESE
SNW	SUN WEST AIRLINES (SCOTTSDALE, AZ)	SUN WEST
SNX	AIR SWEDEN AVIATION AB	SNOWFLAKE
SNY	SERVICIOS AERONAUTICOS DE NAYARIT, S.A. DE C.V.	NAYARIT
SOA	SOUTHERN AIR CHARTER	SOUTH AIRCHARTER
SOB	STABO FREIGHT LIMITED	STABO
SOC	SERVIAEREO, S.A. DE C.V.	SERVIAEREO
SOD	AEROLINEAS SOL, S.A. DE C.V.	ALSOL
SOE	AIR SOLEIL, SOCIETE	AIR SOLEIL
SOF	SOL AIR	SKY COMFORT
SOH	SOUTHERN OHIO AVIATION SALES CO. (W. CARROLLTON, OH)	SOUTHERN OHIO
SOI	SOUTHERN AVIATION LIMITED	SOAVAIR
SOK	S.A.C. INDUSTRIES, LLC (BOZEMAN, MT)	SNOW SKI
SOL	SOLOMON AIRLINES LIMITED	SOLOMON
SOM	AERO SALMON, S.A. DE C.V.	AERO-SAL
SON	ACASS IRELAND LTD.	SONAS
SOO	SOUTHERN AIR, INC. (COLUMBUS, OH)	SOUTHERN AIR
SOP	SOLINAIR LTD	SOLINAIR
SOR	SONAIR SERVICO AEREO, SARL	SONAIR
SOT	SOUTHEAST CORRECT CRAFT, INC. (ORLANDO, FL)	SOUTH COURIER
SOU	SOUTH PACIFIC AIRLINES	PARADISE
SOV	SARATOV AVIATION DIVISION	SARATOV AIR
SOW	PINK SPARROW GMBH	SPARROW
SOX	SOLID AIR B.V.	SOLIDAIR
SOY	ISLAND AVIATION, INC.	SORIANO
SOZ	JET AIRLINES	SATCO
SPA	SIERRA PACIFIC AIRLINES, INC. (TUCSON, AZ)	SIERRA PACIFIC
SPB	SPRINGBOK CLASSIC AIR	SPRING CLASSIC
SPC	SKYWORLD AIRLINES (DENVER, CO)	PORT
SPD	SKY PRIME CHARTER	SKY PRIME
SPE	SPEEDAIR	SPEEDAIR
SPF	SPACE WORLD AIRLINE	SPACE WORLD
SPG	SPEEDWINGS EXECUTIVE JET GMBH	SPEEDWING
SPH	SAPPHIRE EXECUTIVE AIR	SAPPHIRE-CHARTER
SPI	SOUTH PACIFIC ISLAND AIRWAYS, INC.	SOUTH PACIFIC
SPJ	SPECTRUM AVIATION	SPECTRUM
SPK	SOLSTAS LAB PARTNERS (GREENSBORO, NC)	SOLSTAS LAB
SPL	SERVICIOS CORPORATIVOS AEREOS DE LA LAGUNA, S.A. DE C.V.	CORPORATIVOS LAGUNA
SPN	HESA AIRLINES	SEPAHAN
SPO	SPORAVIA S.L.	SPORAVIA
SPP	SAPPHIRE AVIATION, INC. (WEST PALM BEACH, FL)	SAPPHIRE
SPQ	SERVICIOS AEREOS PALENQUE, S.A. DE C.V.	SERVICIOS PALENQUE
SPR	PAL AEROSPACE LTD	SPEEDAIR
SPS	SPASA (SERVICIOS POLITECNICOS AEREOS, S.A.)	SALDUERO
SPT	PAPUGA01	PAPUGA01
SPU	SOUTHEAST AIRMOTIVE CORP. (CHARLOTTE, NC)	SPUTTER
SPV	SERVICIOS PRIVADOS DE AVIACION, S.A. DE C.V.	SERVICIOS PRIVADOS
SPW	ROYAL SPIRIT AIRWAYS	ROYAL SPIRIT
SPX	SERVICE PEOPLE GMBH, HAMBURG	SERVICE PEOPLE
SPY	ASIAN AEROSPACE SERVICE LTD	THAI SPACE
SPZ	AIRWORLD (PTY) LTD	SPEED SERVICE
SQA	SLOVAK NATIONAL AEROCLUB	SLOVAK AEROCLUB
SQC	SINGAPORE AIRLINES CARGO PTE LTD	SINGCARGO
SQD	TOMORROW'S AERONAUTICAL MUSEUM, INC. (COMPTON, CA)	AERO SQUAD
SQF	SLOVAK AIR FORCE	SLOVAK AIRFORCE
SQH	SEAPORT AIRLINES, INC. (PORTLAND,OR)	SASQUATCH
SQL	SERVICIOS DE ALQUILER AEREO, S.A. DE C.V.	ALQUILER
SQM	SIAM AIR TRANSPORT CO., LTD	GOLDEN FIN
SQP	SKYUP AIRLINES	SKYUP
SQR	ALSAQER AVIATION	ALSAQER AVIATION
SQS	ASI PUDJIASTUTI AVIATION, PT	SKY QUEEN
SQU	AEROSPATIALLE	REMUDO
SRA	SAUDI ROYAL AVIATION	SAUDI ARABIAN
SRB	SERBIAN AIR FORCE	SERBIAN AIR FORCE
SRC	SEARCA LTDA.	SEARCA
SRD	HM COASTGUARD	COASTGUARD
SRE	SERAMI, C.A.	SERAMI
SRF	TRANSPORTES AEREOS SAN RAFAEL LTDA.	SAN RAFAEL
SRG	MARITIME AND COASTGUARD AGENCY	BRITISH RESCUE
SRH	SIEM REAP AIRWAYS INTERNATIONAL	SIEMREAP AIR
SRI	AIR SAFARIS AND SERVICES (NZ) LTD	AIRSAFARI
SRJ	SURIJET.COM INC.	SURIJET
SRK	EATIS	SHARK JET
SRL	SERVICIOS AERONAUTICOS AERO PERSONAL, S.A. DE C.V.	SERVICIOS PERSONAL
SRM	STARS DE MEXICO, S.A. DE C.V.	TARMEX
SRN	SPRINTAIR SA	SPRINTAIR
SRO	SERVICIOS AEREOS EJECUTIVOS SAEREO S.A.	SAEREO
SRP	POLIZEIHUBSCHRAUBERSTAFFEL RHEINLAND-PFALZ, FLUGPLATZ WINNINGEN	SPERBER
SRQ	CEBGO, INC. DBA CEBGO	BLUE JAY
SRR	MAERSK AIR CARGO A/S	WHITESTAR
SRS	SOUTHERN SKY	SKY SOUTH
SRT	SERVICIOS AEREOS SURTEP S.A. DE C V	SURTEP
SRU	STAR UP S.A.	STAR-UP
SRV	AERO SERVICIO CORPORATIVO, S.A. DE C.V.	SERVICORP
SRW	SARIT AIRLINES	SARIA
SRX	SIERRA EXPRESSWAY AIRLINES (OAKLAND, CA)	SIERRA EX
SRY	VIA AIRLINES	STINGRAY
SRZ	STRATO AIR SERVICES	STRATO
SSA	SKY SERVICE AVIATION, S.L.	STAR-JET
SSB	SUASA AIRLINES SDN BHD	SUASA AIR
SSC	SOUTHERN SEAPLANE, INC. (BELLE CHASSE, LA)	SOUTHERN SKIES
SSD	STAR SERVICE INTERNATIONAL	STAR SERVICE
SSF	SEVERSTAL, LTD AIRCOMPANY	SEVERSTAL
SSG	SLOVAK GOVERNMENT FLIGHT SERVICE	SLOVAK GOVERNMENT
SSH	HERITAGE AVIATION, INC. D/B/A HERITAGE FLIGHT, LLC (S. BURLINGTON, VT)	SNOWSHOE
SSI	VISION AIRLINES LTD	SUPER JET
SSJ	KRASAVIA, JOINT-STOCK COMPANY	SIBERIAN SKY
SSK	SKYSTAR INTERNATIONAL, INC. (WASHINGTON, NJ)	SKYSTAR
SSL	AIR SULTAN LIMITED	SIERRA SULTAN
SSM	SOCIEDAD DE SALVAMENTO Y SEGURIDAD MARITIMA	SASEMAR
SSN	SETOUCHI SEAPLANES INC.	SETOUCHI
SSO	S&S ORINOCO AVIATION C.A.	ORINOCO
SSP	STARSPEED LTD	STARSPEED
SSQ	SUNSTATE AIRLINES (QLD) PTY	SUNSTATE
SSR	SARDINIAN SKY SERVICE S.R.L.	SARDINIAN
SSS	COMPANIA DE SERVICIOS AEREOS, S.A. (SAESA)	SAESA
SST	ROYAL CANADIAN MOUNTED POLICE (RCMP)	STETSON
SSU	SERVICIOS AEREOS SUCRE C.A. (SASCA)	SASCA
SSV	SKYSERVICE	SKYTOUR
SSX	LYNX AVIATION,INC. (WESTMINSTER,CO)	SHASTA
SSY	SKY AVIATION LTD	SIERRA SKY
SSZ	SPECSAVERS AVIATION LTD	SPECSAVERS
STA	D.O. SYSTEMS LTD	STAR
STB	ST BARTH EXECUTIVE	SEA BARTH
STC	STADIUM CITY LIMITED	STADIUM
STD	SERVICIOS DE AEROTRANSPORTACION DE AGUASCALIENTES, S.A. DE C.V.	AERO AGUASCALIENTES
STE	FLY FAMG T/A AGULHAS 360	STEAMLINE
STG	SEDALIA, MARSHALL, BOONVILLE STAGE LINE, INC. (DES MOINES, IA)	STAGE
STH	RTE / STH	ZELTRON
STI	SONTAIR LTD	SONTAIR
STJ	EMPER GENERAL AVIATION (SUZHOU) CO., LTD.	KINGSMAN
STK	STOBART AIR	STOBART AIR
STL	STAPLEFORD FLIGHT CENTRE	STAPLEFORD
STM	SKYSTREAM AIRLINES AS	SKYSTREAM
STN	ST. ATHAN MU	SAINT ATHAN
STO	STREAMLINE OPS, CJSC	SLOPS
STP	STP AIRWAYS	SAOTOME AIRWAYS
STQ	STARWINGS DORTMUND LUFTFAHRTGESELLSCHAFT MBH, DORTMUND	STARTREK
STR	STERNA LINHAS AEREAS LTDA	STERNA
STS	STARSHIP GROUP VIRTUAL	STARSHIP
STT	WESTERN AIRCRAFT, INC.	SAWTOOTH
STU	STRATEGIC AIRLINES SA	LUXLINER
STV	SATURN AVIATION	SATURN
STW	SOUTHWIND AIRLINES	MOON STAR
STX	STARS AWAY AVIATION	STARSAWAY
STY	ALTIUS AVIATION, LLC (SYRACUSE,NY)	ALTAIR
STZ	BIZ AFRICA 1019 CC T/A STUDIO 88 AVIATION	STUDIO
SUA	SILESIA AIR J.S.C.	AIR SILESIA
SUB	SUBURBAN AIR FREIGHT, INC. (OMAHA, NE)	SUB AIR
SUD	SUDAN AIRWAYS	SUDANAIR
SUE	SU AIRLINES	SU AIRLINES
SUF	SUNFLOWER AIRLINES LIMITED	SUNFLOWER
SUG	SUNU AIR	SUNU AIR
SUI	SWISS AIR FORCE	SWISS AIR FORCE
SUK	SUPERIOR AVIATION SERVICES LTD	SKYCARGO
SUL	AMERICA DO SUL LINHAS AEREAS LTDA.	ASTAIR
SUM	FEDERAL STATE BUDGET INSTITUTION AVIATION RESCUE COMPANY OF EMERCOM OF RUSSIA	SUMES
SUO	AEROSERVICIOS DE SAN LUIS, S.A. DE C.V.	SERVICIO SANLUIS
SUP	AERONAUTICAL CHARTERS INC.	SUN SPEED
SUQ	SUPERIOR AIR S.A	SUPERIOR
SUS	SUN-AIR OF SCANDINAVIA A/S	SUNSCAN
SUT	SUMMIT AIR LTD.	SUMMIT
SUU	STAR WEST AVIATION (EVANSTON, WY)	SUNSTAR
SUV	SUNDANCE AIR S.A.	DANCEAIR
SUW	SUNNY AIRWAYS CO., LTD	SUNNY
SUY	AERIAL SURVEYS (1980) LTD	SURVEY
SVA	SAUDI ARABIAN AIRLINES	SAUDIA
SVB	SIAVIA, D.O.O.	SIAVIA
SVD	ST. VINCENT GRENADINES AIR (1990) LIMITED	GRENADINES
SVE	AERO SERVICIOS ESPECIALIZADOS, S.A. DE C.V.	AEROESPECIAL
SVF	SWEDISH ARMED FORCES	SWEDEFORCE
SVG	SOLENTA AVIATION GABON	SOLAVIA
SVH	STERLING HELICOPTERS LTD	SILVER
SVI	SERVICIOS DE TRANSPORTE AEREO, S.A. DE C.V.	SETRA
SVK	SKY VISION D.O.O.	VISION
SVL	ALANTE AIR CHARTER, LLC	SUN DEVIL
SVN	SAVANAIR (ANGOLA) LDA.	SAVANAIR
SVO	SERVICIOS AERONAUTICOS DE ORIENTE, S.A. DE C.V.	SERVIORIENTE
SVP	STAR AVIATION PVT. LTD	STAR INDIA
SVR	URAL AIRLINES	SVERDLOVSK AIR
SVS	SAS LINK AB	DISCOVER
SVT	SEVEN FOUR EIGHT AIR SERVICES LTD	SIERRA SERVICES
SVV	SALT AVIATION SP. Z.O.O.	SALTAVIATION
SVW	GLOBAL JET LUXEMBOURG S.A.	SILVER ARROWS
SVX	SECURITY AVIATION, INC. (ANCHORAGE, AK)	SECURITY AIR
SVY	COOPER AERIAL SURVEYS LTD	SURVEYOR
SVZ	SERVICIOS EJECUTIVOS AEREOS VIZ, S.A. DE C.V.	SERVICIOS VIZ
SWA	SOUTHWEST AIRLINES CO. (SAN ANTONIO, TX)	SOUTHWEST
SWB	SWISSBOOGIE PARAPRO SA	SWISSBOOGIE
SWC	HELIAIR SWEDEN AB	SWEDCOPTER
SWD	TRIFLY, LLC (MINNEAPOLIS, MN)	SAWBLADE
SWE	SVENSKT AMBULANSFLYG	SWEDECARE
SWF	GALAIR INTERNATIONAL LIMITED	GALAIR
SWG	SUNWING AIRLINES INC.	SUNWING
SWH	ADLER AVIATION LTD	SHOCKWAVE
SWI	SUNWORLD INTERNATIONAL AIRWAYS, INC. (LAS VEGAS, NV)	SUNWORLD
SWK	SUWAIKET AVIATION	ZAGEL
SWL	SOUTHWINGS (THAILAND) CO., LTD	SOUTH WINGS
SWM	SKYWINGS ASIA AILINES	SKY ANGKOR
SWN	WEST ATLANTIC SWEDEN AB	AIR SWEDEN
SWO	SURINAM INTERNATIONAL VICTORY AIRLINE N.V.	SIVA
SWP	STAR WORK SKY	STAR WORK
SWQ	IAERO AIRWAYS DBA SWIFT AIR LLC	SWIFTFLIGHT
SWR	SWISS INTERNATIONAL AIR LINES LTD	SWISS
SWS	LINDQUIST INVESTMENT CO., LTD. D/B/A SUNWEST AVIATION (OGDEN, UT)	SUNNY WEST
SWT	SWIFTAIR S.A.	SWIFT
SWU	SKYALPS	SKYALPS
SWV	SVENSK LUFTAMBULANS	SWEDEMED
SWW	SWISS PRIVATE JET SA	LAKE
SWX	WERMLANDSFLYG AB	SWEDAIR
SWZ	CABOLAR (PTY) LTD T/A SKYWISE	SKYWISE
SXA	SOUTHERN CROSS AVIATION, INC. (CAMARILLO, CA)	FERRY
SXC	SKY EXEC AVIATION SERVICES	SKY EXEC
SXD	SUNEXPRESS DEUTSCHLAND GMBH, FRANKFURT (MAIN)	SUNRISE
SXF	SOUTHERN CROSS AVIATION INC., LLC	SOUTHERN FLIGHT
SXG	SUN EXPRESS DEUTSCHLAND GMBH, FRANKFURT AM MAIN	GERMAN SUN
SXI	SOUTHERN CROSS INTERNATIONAL	SOUTHERN CROSS
SXJ	SHANXI SHENFEI JET CO. LTD.	BIG WING
SXL	CORNERSTONE AVIATION, LLC. D/B/A SKYLINE FLIGHT (STOW, MA)	SONIC
SXM	ST.MAARTEN AIRWAYS	SAINT MAARTEN
SXN	SAXON AIR	SAXONAIR
SXP	SOUTH PACIFIC EXPRESS HOLDINGS LIMITED	SOUTHPAC EXPRESS
SXR	SKY EXPRESS	SKYSTORM
SXS	SUNEXPRESS (GüNE? EKSPRES HAVAC?L?K A.?.)	SUNEXPRESS
SXT	SERVICIOS DE TAXI AEREOS, S.A. DE.C.V.	SERTAXI
SXY	SAFARI EXPRESS CARGO LIMITED	SAFARI EXPRESS
SXZ	GREAT CIRCLE AVIATION, LLC (SAN MARCOS, CA)	SOCALAIR
SYA	SYPHAXAIR	SYPHAXAIR
SYB	SKYSERVICE BUSINESS AVIATION INC.	SKYBIZ
SYC	SYSTEC 2000, INC (WATERFORD, MI)	SYSTEC
SYD	FLYING AMBULANCE (PTY) LTD T/A AEROCARE	SKYDOCTOR
SYF	SKY ONE EXPRESS AIRLINES INC. (REISTERTOWN, MD)	SKY FIRST
SYG	SYNERGY AVIATION LTD	SYNERGY
SYK	J AND A PROPERTIES D/B/A SATSAIR, INC. (GREENVILLE, SC)	AEROCAB
SYL	AIRCOMPANY YAKUTIA, JOINT-STOCK COMPANY	AIR YAKUTIA
SYM	SKY SERVICES MALTA LTD	VOLO SKY
SYN	SYNCRUDE CANADA LTD	SYNCRUDE
SYO	SYERSTON FTU	SYERSTON
SYP	SYNESIS AVIATION	SYNESIS
SYR	SYRIAN ARAB AIRLINES	SYRIANAIR
SYS	SHAWBURY FTU	SHAWBURY
SYT	AEROSUD AVIATION	SKYTRACK
SYU	SKY UNLIMITED	SKY UNLIMITED
SYV	SPECIAL AVIATION SYSTEMS, INC. (LEIPSIC, OH)	SPECIAL SYSTEM
SYW	STAR FLY WINGS	FAST STAR
SYY	SOUTH AFRICAN HISTORIC FLIGHT	SKY COACH
SYZ	ZIL AIR PTY LTD	ZIL AIR
SZA	ASTRO AIR CO., LTD	AIR ASTRO
SZG	SHTOTZ AGRO SERVICE	STOTZ AGRO
SZJ	SPRING JET LIMITED	SPRING JET
SZL	ROYAL ESWATINI NATIONAL AIRWAYS CORPORATION	ESWATINI
SZN	AIR SENEGAL SA	SENSA
SZS	SCANDINAVIAN AIRLINES IRELAND LIMITED DBA SAS CONNECT	SPINNAKER
SZT	SERVICIOS AERONAUTICOS Z, S.A. DE C.V.	AERO ZEE
TAA	AEROSERVICIOS DE LA COSTA, S.A. DE C.V.	AERO COSTA
TAB	TRANSPORTES AERONAUTICOS DEL BAJIO, S.A. DE C.V.	TRANS-BAJIO
TAC	THAI AVIATION ACADEMY	TAURUS
TAE	EMPRESA PUBLICA TAME LINEA AEREA DEL ECUADOR (TAME EP)	TAME
TAF	TOPFLIGHT AERO-SERVICES LTD.	TOP FLIGHT
TAG	TAG AVIATION SAN MARINO S.R.L.	TAGSPIRIT
TAH	AIR ANKA AIRLINES INC.- AIR ANKA HAVA YOLLARI A.S.	AIR ANKA
TAI	TACA INTERNATIONAL AIRLINES S.A.	TACA
TAJ	TUNISAVIA - SOCIETE DE TRANSPORTS, SERVICES ET TRAVAUX AERIENS	TUNISAVIA
TAK	TRANSAFRICAN AIR LIMITED	TRANSAFRICAN
TAL	TALAIR PTY. LTD.	TALAIR
TAM	TAM - LINHAS AEREAS S.A.	TAM
TAN	ZANAIR LIMITED	ZANAIR
TAO	TRANSPORTES AEROMAR	TRANS-AEROMAR
TAP	TRANSPORTES AEREOS PORTUGUESES, E.P.	AIR PORTUGAL
TAR	TUNIS AIR - SOCIETE TUNISIENNE DE L'AIR	TUNAIR
TAS	LOTUS AIRLINE	LOTUS FLOWER
TAT	TACA COSTA RICA S.A.	TACA-COSTARICA
TAU	TRANSPORTES AEREOS TAURO, S.A. DE C.V.	TRANSTAURO
TAV	COMPANIA DE SERVICIOS AEREOS TAVISA	TAVISA
TAW	TIAN-SHAN AIR COMPANY	TIAN-SHAN
TAX	THAI AIRASIA X CO., LTD	EXPRESS WING
TAY	ASL AIRLINES BELGIUM	QUALITY
TBA	TIBET AIRLINES CO., LTD	TIBET
TBB	AIR IBERIA	IBERLINE
TBC	TBILISI AIRWAYS	TBILISI
TBE	TAXI AERO BAE, S.A. DE C.V.	TAXI BAIE
TBI	TAB EXPRESS INTERNATIONAL (DELAND, FL)	TAB INTERNATIONAL
TBJ	TAG AVIATION ASIA LIMITED	TAG JET
TBL	TERRIBLE HERBST INC.	TERRIBLES
TBM	TABAN AIR LINES	TABAN AIR
TBN	TABAN AIRLINES	TABAN
TBO	RWS AVIATION, LLC	CARTILLION
TBR	AIR BTR LTD	THRACIAN
TBS	TIMBIS AIR SERVICES	TIMBIS
TBT	TOMBOUCTOU AVIATION COMPANY	TOMBOUCTOU AIR
TBZ	ATA AIRLINES	ATALAR AIR
TCA	TRADECRAFT NIGERIA LTD	TRADECRAFT
TCB	TRANSPORTE AEREO DE COLOMBIA	AEREO COLOMBIA
TCC	TRANS CONTINENTAL AIRLINES	TRANSCAL
TCD	TCHAD AIRLINES	TCHADLINES
TCE	TRANS-COLORADO AIRLINES, INC. (GUNNISON, CO)	TRANS-COLORADO
TCF	SHUTTLE AMERICA CORPORATION (INDIANAPOLIS, IN)	MERCURY
TCG	TRANSAFRICAINE AIR CARGO	AFRICARGO
TCH	TRANSCONTINENTAL AIR WLL	TRANS GULF
TCI	AMBER AVIATION LIMITED	AMBER
TCJ	TAG AVIATION (CAYMAN) SEZC	TAG ISLAND
TCK	TRANS CARAVAN KG	TRANS CARAVAN
TCL	ESCAPE AVIATION D/B/A COASTAL AIR TRANSPORT (FAIRHOPE, AL)	TRANS COASTAL
TCM	TELEDYNE CONTINENTAL MOTORS (MUSKEGON, MI)	TELEDYN
TCN	AIR BERLIN AVIATION	NAUTILUS
TCO	AEROTRANSCOLOMBIANA DE CARGA LTDA.	TRANSCOLOMBIA
TCP	TRANSCORP AIRWAYS	TRANSCORP
TCQ	AMBER AVIATION SAN MARINO S.R.L.	AMSAN
TCR	LANEAS AEREAS TRANS COSTA RICA S.A.	TICOS
TCS	ATS, PRIVATE COMPANY	TECHSERVICE
TCT	TRANSCONTINENTAL SUR S.R.L.	TRANS-CONT
TCU	TRANSGLOBAL AIRWAYS CORPORATION	TRANSGLOBAL
TCV	TRANSPORTES AEREOS DE CABO VERDE - TACV	CABOVERDE
TCW	VLM AIRLINES N.V.	PHOENIX
TCX	THOMAS COOK AIRLINES LTD	THOMAS COOK 
TCY	TWIN CITIES AIR SERVICE, INC. (AUBURN, ME)	TWIN CITY
TDA	TREND AVIATION, LLC (ORLANDO,FL)	TREND AIR
TDB	WELCH AVIATION, INC. (ALPENA, MI)	THUNDER BAY
TDC	TADAIR, S.A.	TADAIR
TDE	TELAVIA D/B/A FLIGHT ONE, INC. (TELLURIDE, CO)	TELLURIDE
TDG	AIR CARGO EXPRESS, INC. (LITTLE ROCK, AR)	TURBO DOG
TDI	TRANSPORTES AEREOS DE IXTLAN, S.A. DE C.V.	TRANSIXTLAN
TDJ	ALISERIO SRL	ALISERIO
TDM	TANDEM-AERO SRL	TANDEM
TDR	TRADE AIR	TRADEAIR
TDS	TSARADIA	TSARADIA
TDT	ATLAS HELICOPTERS LTD	TRIDENT
TDV	TAXI AEREO NACIONAL DEL EVORA, S.A. DE C.V.	TAXI EVORA
TEA	EXECUTIVE TURBINE AVIATION (PTY) LTD	TRAVELMAX
TEC	ADI SHUTTLE GROUP,LLC (MATHER,CA)	TECHJET
TED	AERO SERVICIOS AZTECA, S.A. DE C.V.	AEROAZTECA
TEE	WEST FREUGH DTEO	TEEBIRD
TEF	TECNICAS FOTOGRAFICAS, S.L.	TECFOTO
TEG	AEROSERVICIOS DE TLALTENANGO, S.A. DE C.V.	SERVITLAL
TEK	AERO-TECH SERVICES	ATECH
TEL	TELFORD AVIATION, INC. (WATERVILLE, ME)	TELFORD
TEM	TECH-MONT HELICOPTER COMPANY LTD	TECHMONT
TEN	TENNESSEE AIRWAYS (ALCOA, TN)	TENNESSEE
TEO	TRANSAEREO 5074, C.A.	TRANSAEREO
TEP	TRANSPORTES EJECUTIVOS PIZA S.A DE R.L	TRANSPORTES PIZA
TER	TERRITORIAL AIRLINES, INC. (SANTA FE, NM)	TERRI-AIRE
TES	TAESPEJO PORTUGAL, LDA	TESABAN
TET	TEPAVIA-TRANS AIRLINE	TEPAVIA
TEU	TAG AVIATION (MALTA) LTD	TAG MALTA
TEW	AIRTEAM CHARTER (PTY) LTD	TEAMWORK
TEX	FREEDOM JETS	BIG TEX
TEZ	TEZ JET AIRLINES	TEZJET
TFA	TRANS-FLORIDA AIRLINES (DAYTONA BEACH, FL)	TRANS FLORIDA
TFB	TAIR AIRWAYS, INC.	ROYAL TEE-AIR
TFF	TALON AIR, INC. (FARMINGDALE, NY)	TALON FLIGHT
TFG	BLUESTREAM AVIATION LTD	TRAFALGAR
TFH	THAI FLYING HELICOPTER SERVICE CO., LTD.	THAI HELICOPTER
TFJ	TRUSTFLIGHT (JERSEY) LTD	TRUSTFLIGHT
TFL	TUI AIRLINES NEDERLAND	ORANGE
TFN	NORWEGIAN AVIATION COLLEGE A/S (NAC)	SPIRIT
TFO	TRANSPORTES AEREOS DEL PACIFICO, S.A. DE C.V.	TRANSPORTES PACIFICO
TFR	AIR FREIGHT NZ LTD	TOLL FREIGHT
TFS	TFF GMBH, OSNABRUECK	CAMPUS
TFT	THAI FLYING SERVICE CO. LTD	THAI FLYING
TFX	TOLL AVIATION PTY LTD	TOLL EXPRESS
TFY	TAYSIDE AVIATION LTD	TAYSIDE
TGA	AVIASHELF	TAIGA
TGC	TG AVIATION LTD	THANET
TGE	TRABAJOS AEREOS S.A.	TASA
TGG	TIGER AIRWAYS AUSTRALIA PTY LTD	TIGGOZ
TGI	TRANSPORTES AEREOS REGIONALES, S.A. DE C.V.	TRANSPORTE REGIONAL
TGM	TAG AVIATION ESPANA, S.A.	TAG ESPANA
TGN	TRIGANA AIR SERVICE, PT.	TRIGANA
TGO	CANADA - TRANSPORT CANADA	TRANSPORT
TGP	TROPICANA AIRLINES	TROPICANA
TGT	SAAB AB	TARGET
TGU	TRANSPORTES AEREOS GUATEMALTECOS	CHAPIN
TGW	SCOOT PTE. LTD.	SCOOTER
TGX	TRANSAIR GABON	TRANSGABON
TGY	TRANS GUYANA AIRWAYS	TRANS GUYANA
TGZ	GEORGIAN AIRWAYS	TAMAZI
THA	THAI AIRWAYS INTERNATIONAL LTD.	THAI
THC	TRANSPORTES NACIONALES CA	TRANAVEN
THD	THAI SMILE AIRWAYS	THAI SMILE
THE	TOUMAI AIR TCHAD	TOUMAI AIR
THF	TOURAINE HELICOPTERE	TOURAINE HELICO
THG	THAI GLOBAL AIRLINE CO., LTD	THAI GLOBAL
THK	TURK HAVA KURUMU HAVA TAKSI ISLETMESI	HUR KUS
THL	TERNHILL (RAF)	TERNHILL
THO	THRO AVIATION, INC.	THRO
THR	TEHRAN AIRLINE	TEHRAN AIR
THS	TUSAS TURK HAVACILIK VE UZAY SANAYI A.S.	TUSAS
THT	AIR TAHITI NUI	TAHITI AIRLINES
THU	THUNDER AIRLINES LTD	AIR THUNDER
THY	TURK HAVA YOLLARI (TURKISH AIRLINES CO.)	TURKISH
THZ	TRANS HELICOPTERE SERVICE	LYON HELIJET
TIA	TRANS INTERNATIONAL AIRLINES	TRANS INTERNATIONAL
TIB	TRIP, TRANSPORTE AEREO REGIONAL DO INTERIO PAULISTA LTDA	TRIP
TIC	TRANSPORTES AEREOS COSTARRICENSES	TAC AIRLINES
TIE	TIME AIR	TIME AIR
TIF	TRANSPORT AERIEN INTERCARAIBES	INTERCARAIBES
TIG	TIGER HELICOPTERS LTD	TIGRIS
TIH	S.C.ION TIRIAC S.A.	TIRIAC AIR
TIK	TIC AIR	TICAIR
TIL	TAJIKISTAN INTERNATIONAL AIRLINES	TIL
TIM	TEAM TRANSPORTES AEREOS	TEAM BRASIL
TIN	AIR TINDI LTD.	TINDI
TIP	C AND M AVIATION (BUTTE, MT)	TRANSPAC
TIR	ANTAIR, S.A. DE C.V.	ANTAIR
TIS	AVIATIS	AVIATIS
TIV	CORPORATE FLIGHT INTERNATIONAL, DBA THRIVE AVIATION	THRIVE
TIW	TRANSCARGA INTL AIRWAYS, C.A.	TIACA
TIX	FLEXFLIGHT S.R.L	MATRIX
TJA	TAPJETS INC	TAPJETS
TJB	TAYARAN JET	ALADIN
TJD	ALISERIO SRL	ALISERIO
TJE	TOMZAJET, S.A. DE C.V.	TOMZAJET
TJJ	BLESSINGS AVIATION LTD.	BLESSED KID
TJK	TAJIKAIR	TAJIKAIR
TJN	TIEN-SHAN	NERON
TJS	TYROLEAN JET SERVICE NFG, GMBH & CO. KG	TYROLJET
TJT	TWIN JET	TWINJET
TKA	TRANSLIZ AVIATION (K) LTD	TOURLIZ
TKC	THY HAVA KARGO TASIMACILIGI A.S.	TURKISH CARGO
TKF	UK ROYAL/VIP HELICOPTER FLIGHTS	RAINBOW
TKH	MATER LOGISTICS, LLC	TRACKHOUSE
TKI	TURKU AIR OY	TURKU AIR
TKJ	AJET HAVA TASIMACILIGI ANONIM SIRKETI	ANATOLIA
